Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N00E117V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,117°00'00"E,1°00'00"N,118°00'00"E,0°00'00"N,118°00'00"E,0°00'00"N,117°00'00"E,1,117,1,118,0,118,0,117,SRTM1N00E117V3,SRTM1N00E117V3
SRTM1N00E118V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,118°00'00"E,1°00'00"N,119°00'00"E,0°00'00"N,119°00'00"E,0°00'00"N,118°00'00"E,1,118,1,119,0,119,0,118,SRTM1N00E118V3,SRTM1N00E118V3
SRTM1N00E119V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,119°00'00"E,1°00'00"N,120°00'00"E,0°00'00"N,120°00'00"E,0°00'00"N,119°00'00"E,1,119,1,120,0,120,0,119,SRTM1N00E119V3,SRTM1N00E119V3
SRTM1N00E120V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,120°00'00"E,1°00'00"N,121°00'00"E,0°00'00"N,121°00'00"E,0°00'00"N,120°00'00"E,1,120,1,121,0,121,0,120,SRTM1N00E120V3,SRTM1N00E120V3
SRTM1N00E121V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,121°00'00"E,1°00'00"N,122°00'00"E,0°00'00"N,122°00'00"E,0°00'00"N,121°00'00"E,1,121,1,122,0,122,0,121,SRTM1N00E121V3,SRTM1N00E121V3
SRTM1N00E122V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.395055-05,1°00'00"N,122°00'00"E,1°00'00"N,123°00'00"E,0°00'00"N,123°00'00"E,0°00'00"N,122°00'00"E,1,122,1,123,0,123,0,122,SRTM1N00E122V3,SRTM1N00E122V3
SRTM1N00E123V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,123°00'00"E,1°00'00"N,124°00'00"E,0°00'00"N,124°00'00"E,0°00'00"N,123°00'00"E,1,123,1,124,0,124,0,123,SRTM1N00E123V3,SRTM1N00E123V3
SRTM1N00E124V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.401611-05,1°00'00"N,124°00'00"E,1°00'00"N,125°00'00"E,0°00'00"N,125°00'00"E,0°00'00"N,124°00'00"E,1,124,1,125,0,125,0,124,SRTM1N00E124V3,SRTM1N00E124V3
SRTM1N00E126V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,126°00'00"E,1°00'00"N,127°00'00"E,0°00'00"N,127°00'00"E,0°00'00"N,126°00'00"E,1,126,1,127,0,127,0,126,SRTM1N00E126V3,SRTM1N00E126V3
SRTM1N00E127V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,127°00'00"E,1°00'00"N,128°00'00"E,0°00'00"N,128°00'00"E,0°00'00"N,127°00'00"E,1,127,1,128,0,128,0,127,SRTM1N00E127V3,SRTM1N00E127V3
SRTM1N00E128V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,128°00'00"E,1°00'00"N,129°00'00"E,0°00'00"N,129°00'00"E,0°00'00"N,128°00'00"E,1,128,1,129,0,129,0,128,SRTM1N00E128V3,SRTM1N00E128V3
SRTM1N00E129V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,129°00'00"E,1°00'00"N,130°00'00"E,0°00'00"N,130°00'00"E,0°00'00"N,129°00'00"E,1,129,1,130,0,130,0,129,SRTM1N00E129V3,SRTM1N00E129V3
SRTM1N00E130V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,130°00'00"E,1°00'00"N,131°00'00"E,0°00'00"N,131°00'00"E,0°00'00"N,130°00'00"E,1,130,1,131,0,131,0,130,SRTM1N00E130V3,SRTM1N00E130V3
SRTM1N00E131V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,131°00'00"E,1°00'00"N,132°00'00"E,0°00'00"N,132°00'00"E,0°00'00"N,131°00'00"E,1,131,1,132,0,132,0,131,SRTM1N00E131V3,SRTM1N00E131V3
SRTM1N00E134V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:42.143041-05,1°00'00"N,134°00'00"E,1°00'00"N,135°00'00"E,0°00'00"N,135°00'00"E,0°00'00"N,134°00'00"E,1,134,1,135,0,135,0,134,SRTM1N00E134V3,SRTM1N00E134V3
SRTM1N00E172V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:09.687584-05,1°00'00"N,172°00'00"E,1°00'00"N,173°00'00"E,0°00'00"N,173°00'00"E,0°00'00"N,172°00'00"E,1,172,1,173,0,173,0,172,SRTM1N00E172V3,SRTM1N00E172V3
SRTM1N00E173V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.395055-05,1°00'00"N,173°00'00"E,1°00'00"N,174°00'00"E,0°00'00"N,174°00'00"E,0°00'00"N,173°00'00"E,1,173,1,174,0,174,0,173,SRTM1N00E173V3,SRTM1N00E173V3
SRTM1N00W050V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:27:17.447805-05,1°00'00"N,50°00'00"W,1°00'00"N,49°00'00"W,0°00'00"N,49°00'00"W,0°00'00"N,50°00'00"W,1,-50,1,-49,0,-49,0,-50,SRTM1N00W050V3,SRTM1N00W050V3
SRTM1N00W051V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:27:17.447805-05,1°00'00"N,51°00'00"W,1°00'00"N,50°00'00"W,0°00'00"N,50°00'00"W,0°00'00"N,51°00'00"W,1,-51,1,-50,0,-50,0,-51,SRTM1N00W051V3,SRTM1N00W051V3
SRTM1N00W052V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:27:17.447805-05,1°00'00"N,52°00'00"W,1°00'00"N,51°00'00"W,0°00'00"N,51°00'00"W,0°00'00"N,52°00'00"W,1,-52,1,-51,0,-51,0,-52,SRTM1N00W052V3,SRTM1N00W052V3
